Name,mainCategories,subCategory1,subCategory2,subCategory3,subCategory4
Boy with Brown Hair and Red Shirt,['unnamed characters'],unnamed characters,,,
Canadian President,"['fictional celebrities', 'unnamed characters']",fictional celebrities,unnamed characters,,
Kokujon Man,"['unnamed characters', 'aliens']",unnamed characters,aliens,,
Oscar G. Mayer Jr.,['celebrities'],celebrities,,,
Scott the Dick,['uncategorized'],uncategorized,,,
Jehovah's Witnesses,['unnamed characters'],unnamed characters,,,
Frances Velman,['uncategorized'],uncategorized,,,
Mr. Harrison,['uncategorized'],uncategorized,,,
Bea Arthur,['celebrities'],celebrities,,,
Diane Choksondik,['uncategorized'],uncategorized,,,
William Connelly,['uncategorized'],uncategorized,,,
Agent Fields,['uncategorized'],uncategorized,,,
Pete Melman,['4th graders'],4th graders,,,
Mrs. Sanders,['unnamed characters'],unnamed characters,,,
Kathie Lee Gifford,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Excalibur Sorcerer,['unnamed characters'],unnamed characters,,,
Fonics Monkey,['animals'],animals,,,
Tiger Woods,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
Jim Brown-ish,['uncategorized'],uncategorized,,,
6th Grader with Orange Coat,['unnamed characters'],unnamed characters,,,
The Orange County Crew Coach,['unnamed characters'],unnamed characters,,,
Corey Lanskin,['uncategorized'],uncategorized,,,
Truck Driver,['unnamed characters'],unnamed characters,,,
Cleo Broflovski,['uncategorized'],uncategorized,,,
Peter's Wife,['unnamed characters'],unnamed characters,,,
Hispanic Boy with Olive Vest,['unnamed characters'],unnamed characters,,,
Michael Bay,['celebrities'],celebrities,,,
Maggie Yates,['uncategorized'],uncategorized,,,
Liza Minnelli,['celebrities'],celebrities,,,
Miley Cyrus,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Pablo,['uncategorized'],uncategorized,,,
Billy Harris,['kindergartners'],kindergartners,,,
Natalie Portman,['uncategorized'],uncategorized,,,
Bartender,['unnamed characters'],unnamed characters,,,
Ron Paul,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Mr. McDonald,['unnamed characters'],unnamed characters,,,
Roger Donovan,['uncategorized'],uncategorized,,,
Scrambles (The Fractured But Whole),['animals'],animals,,,
Mick Jagger,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Clyde Donovan,['4th graders'],4th graders,,,
Billy Turner,['uncategorized'],uncategorized,,,
Meat Loaf,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
911 Operator,['unnamed characters'],unnamed characters,,,
Robin Meade,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Job (Biblical Character),['religious figures'],religious figures,,,
Richard Burch,['uncategorized'],uncategorized,,,
Vladimir Putin,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Bill Owens,['political celebrities'],political celebrities,,,
Gretchen,['uncategorized'],uncategorized,,,
Mr. Farnickle,['uncategorized'],uncategorized,,,
Kenny G,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Mike Sorrentino,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Clyde's Fortress Shopkeeper,['uncategorized'],uncategorized,,,
Bob Thomas,['uncategorized'],uncategorized,,,
Kublai Khan,"['historical celebrities', 'celebrities']",historical celebrities,celebrities,,
Gavin Throttle,['4th graders'],4th graders,,,
Mrs. Rodriguez,['uncategorized'],uncategorized,,,
Photographer,['unnamed characters'],unnamed characters,,,
M. Night Shyamalan,['celebrities'],celebrities,,,
Jason Voorhees,"['crossover characters', 'monsters']",crossover characters,monsters,,
Rick the Mountie,['uncategorized'],uncategorized,,,
Han Seung-soo,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
David Carradine,['celebrities'],celebrities,,,
Mrs. Miller,['uncategorized'],uncategorized,,,
Aaron Brown,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Jimmy Stewart,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Gnome Warlock,['monsters'],monsters,,,
911 Truth Webmaster,['unnamed characters'],unnamed characters,,,
Nicki Minaj,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Dan Banks,['uncategorized'],uncategorized,,,
Captain Hook,['crossover characters'],crossover characters,,,
Dr. Gauche,['unnamed characters'],unnamed characters,,,
Vernon Trumski,['uncategorized'],uncategorized,,,
Lao Tse,['religious figures'],religious figures,,,
Bryan Adams,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
General Plymkin,['uncategorized'],uncategorized,,,
Captain Hindsight,['uncategorized'],uncategorized,,,
Human Pete Puma,"['crossover characters', 'unnamed characters']",crossover characters,unnamed characters,,
MMA Host,['unnamed characters'],unnamed characters,,,
Mr. Mackey Senior,['unnamed characters'],unnamed characters,,,
Alejandro White,['uncategorized'],uncategorized,,,
Meth Heads,['uncategorized'],uncategorized,,,
The Alien (Xenomorph),"['crossover characters', 'aliens']",crossover characters,aliens,,
Beast,"['crossover characters', 'monsters']",crossover characters,monsters,,
Jonesy,['uncategorized'],uncategorized,,,
Vince McMahon,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
Brandon Carlile,['uncategorized'],uncategorized,,,
Mrs. Conner,['uncategorized'],uncategorized,,,
Tom (Ike's Wee Wee),['uncategorized'],uncategorized,,,
Yao,['uncategorized'],uncategorized,,,
Michael Chertoff,"['political celebrities', 'celebrities', 'animals', 'monsters']",political celebrities,celebrities,animals,monsters
Crab People,"['aliens', 'animals']",aliens,animals,,
Ben Roethlisberger,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
Mark (The Lords of the Underworld),['uncategorized'],uncategorized,,,
Yvonne Finnerty,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Dr. Biber,['uncategorized'],uncategorized,,,
Sneezing Panda,"['internet celebrities', 'celebrities', 'animals']",internet celebrities,celebrities,animals,
Heidi (Simply Heidi),['uncategorized'],uncategorized,,,
Sally Bands,['kindergartners'],kindergartners,,,
Professor Teabag,['uncategorized'],uncategorized,,,
Jefferson Davis,"['historical celebrities', 'celebrities']",historical celebrities,celebrities,,
The Bard (Character),['uncategorized'],uncategorized,,,
Stephen Abootman's Aides,['uncategorized'],uncategorized,,,
DJ (Korn's Groovy Pirate Ghost Mystery),['unnamed characters'],unnamed characters,,,
Hugh,['uncategorized'],uncategorized,,,
Jim Lehrer,['celebrities'],celebrities,,,
Xenu,"['religious figures', 'aliens']",religious figures,aliens,,
Walgreens Pharmacist,['uncategorized'],uncategorized,,,
Bill Cosby,"['celebrities', 'criminal celebrities']",celebrities,criminal celebrities,,
KOK-A-3,['animals'],animals,,,
The Other 4th Grade,['4th graders'],4th graders,,,
Jessie,['4th graders'],4th graders,,,
Larry Feegan,['uncategorized'],uncategorized,,,
Damien Thorn,['4th graders'],4th graders,,,
Chad Handler,['4th graders'],4th graders,,,
Hat McCullough,['uncategorized'],uncategorized,,,
Ted (Planned Parenthood Doctor),['uncategorized'],uncategorized,,,
Thumper (Cat),['animals'],animals,,,
Matt Kenseth,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
Tron Guy,['internet celebrities'],internet celebrities,,,
Canadian Bishop,['uncategorized'],uncategorized,,,
Father Maxi,['uncategorized'],uncategorized,,,
Queen of Canada,['uncategorized'],uncategorized,,,
Tina Yothers,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Emmanuel Lewis,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Felipe,['uncategorized'],uncategorized,,,
Brian Dennehy,['celebrities'],celebrities,,,
DogPoo Petuski,['4th graders'],4th graders,,,
Moira McArthur,['uncategorized'],uncategorized,,,
Steven Seagal,['celebrities'],celebrities,,,
Cab Driver (Erection Day),['unnamed characters'],unnamed characters,,,
Michael's Parents,['unnamed characters'],unnamed characters,,,
Tony,['uncategorized'],uncategorized,,,
Dr. David Nelson,['uncategorized'],uncategorized,,,
Ms. Ellen,['uncategorized'],uncategorized,,,
Hu Jintao,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Bob Saget,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Canadian Border Wall Guard,['uncategorized'],uncategorized,,,
Kanye West,"['music celebrities', 'celebrities', 'animals']",music celebrities,celebrities,animals,
Big Bad Government Guy,['unnamed characters'],unnamed characters,,,
Danny Ray Johnson,['4th graders'],4th graders,,,
Michael,['uncategorized'],uncategorized,,,
Porsche,['raisins employees'],raisins employees,,,
Ms. Gorache,['uncategorized'],uncategorized,,,
Frank Hammond and Phil,['uncategorized'],uncategorized,,,
Frank Waters,['uncategorized'],uncategorized,,,
Bridon Gueermo,['uncategorized'],uncategorized,,,
Mr. Scientist,['unnamed characters'],unnamed characters,,,
Steve Black,['uncategorized'],uncategorized,,,
Mr. Freely,['uncategorized'],uncategorized,,,
Heidi's Mother (Dead Celebrities),['unnamed characters'],unnamed characters,,,
Teenager Boy with Brown Hair and Blue Shirt,['unnamed characters'],unnamed characters,,,
Janet Fitzsimmons,['uncategorized'],uncategorized,,,
Dr. Katz,['crossover characters'],crossover characters,,,
Miles Standish,['aliens'],aliens,,,
Blockbuster Employee's Ghost,['uncategorized'],uncategorized,,,
Meredith Vieira,['television celebrities'],television celebrities,,,
Alien Conspiracy Hobo,['uncategorized'],uncategorized,,,
Nurse Goodly,['uncategorized'],uncategorized,,,
Mrs. Mackey Senior,['unnamed characters'],unnamed characters,,,
Robert Smith,"['music celebrities', 'monsters']",music celebrities,monsters,,
Demonius,['uncategorized'],uncategorized,,,
Weasel,['uncategorized'],uncategorized,,,
Abraham Lincoln,"['political celebrities', 'historical celebrities']",political celebrities,historical celebrities,,
PewDiePie,"['internet celebrities', 'celebrities']",internet celebrities,celebrities,,
Cock Magic Ring Announcer,['uncategorized'],uncategorized,,,
Great-Great-Grandpa Marsh,['uncategorized'],uncategorized,,,
Sarah Jessica Parker,['television celebrities'],television celebrities,,,
Jeffy's Farmer,['unnamed characters'],unnamed characters,,,
Marvin Marsh,['uncategorized'],uncategorized,,,
Frosty,['monsters'],monsters,,,
Herbert Garrison Sr.,['unnamed characters'],unnamed characters,,,
Homeless Advisor,['unnamed characters'],unnamed characters,,,
Principal Victoria,['uncategorized'],uncategorized,,,
Fifi,['animals'],animals,,,
Tweek Tweak,['4th graders'],4th graders,,,
Nathan,['4th graders'],4th graders,,,
Guinea Creatures,"['animals', 'monsters']",animals,monsters,,
Dr. Shay,['uncategorized'],uncategorized,,,
Whistlin' Willy (Mascot),['uncategorized'],uncategorized,,,
Mike Makowski,['uncategorized'],uncategorized,,,
Steven (Super Best Friends),['uncategorized'],uncategorized,,,
Tall Handicapped Boy with Brown Hair,['unnamed characters'],unnamed characters,,,
Filmore Anderson,['kindergartners'],kindergartners,,,
Alice,['uncategorized'],uncategorized,,,
Little Boy with Big Glasses,['unnamed characters'],unnamed characters,,,
6th Grader with Brown Shirt,['unnamed characters'],unnamed characters,,,
Mrs. Tweak,['uncategorized'],uncategorized,,,
Unnamed Goth Girl,"['4th graders', 'unnamed characters']",4th graders,unnamed characters,,
Keifer,['uncategorized'],uncategorized,,,
Dylan and Sarah,['uncategorized'],uncategorized,,,
Freddy Krueger,['crossover characters'],crossover characters,,,
Mr. and Mrs. Drordy,['uncategorized'],uncategorized,,,
John D'Aquino,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Record Producer,['unnamed characters'],unnamed characters,,,
Anderson Cooper,['television celebrities'],television celebrities,,,
Betsy MacIntosh,['uncategorized'],uncategorized,,,
Mrs. Daniels,['uncategorized'],uncategorized,,,
Michael Jordan,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
Girl with Pink Flower Shirt,['unnamed characters'],unnamed characters,,,
Miss Information,['uncategorized'],uncategorized,,,
Wall-Mart,['monsters'],monsters,,,
Kelly Pinkerton-Tinfurter,['4th graders'],4th graders,,,
Nicole Kidman,['celebrities'],celebrities,,,
Mr. Thompson,['school faculty'],school faculty,,,
Rauf Xerxes,['uncategorized'],uncategorized,,,
Stuart McCormick,['uncategorized'],uncategorized,,,
Rebecca (Raisins Girl),['raisins employees'],raisins employees,,,
Brian (Greeley Little League Batter),['uncategorized'],uncategorized,,,
Zhongnanhai Secretary,['unnamed characters'],unnamed characters,,,
Hillbilly Brigade,['uncategorized'],uncategorized,,,
Thompson (Pandemic),['uncategorized'],uncategorized,,,
John Warsog,['uncategorized'],uncategorized,,,
Justin Trudeau,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Kurt Russell,['celebrities'],celebrities,,,
Libby Perkins,['4th graders'],4th graders,,,
Officer Adams,['uncategorized'],uncategorized,,,
Yasmine Bleeth,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Matt (Nelly's Dad),['uncategorized'],uncategorized,,,
Shauna,['4th graders'],4th graders,,,
Michelle Obama,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Dougie O'Connell,['uncategorized'],uncategorized,,,
The Clitoris,['uncategorized'],uncategorized,,,
Michael (Fat Butt and Pancake Head),['uncategorized'],uncategorized,,,
Slanty,['uncategorized'],uncategorized,,,
Jeffrey Dahmer,['criminal celebrities'],criminal celebrities,,,
Nazi Zombie Fetuses,['uncategorized'],uncategorized,,,
6th Grader with Dark Blue Shirt,['unnamed characters'],unnamed characters,,,
Brad Davis,['uncategorized'],uncategorized,,,
Fidel Castro,['political celebrities'],political celebrities,,,
Shinzo Abe,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Dramatic Look Gopher,"['internet celebrities', 'celebrities', 'animals']",internet celebrities,celebrities,animals,
Jake,['4th graders'],4th graders,,,
Michael Buffer,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
Chinese Book Reader,['unnamed characters'],unnamed characters,,,
Sheila Broflovski,['uncategorized'],uncategorized,,,
Bob Ferrin,['uncategorized'],uncategorized,,,
Gary Nelson,['uncategorized'],uncategorized,,,
Cinderella,['crossover characters'],crossover characters,,,
Terry Gilliam,['celebrities'],celebrities,,,
Leslie,['uncategorized'],uncategorized,,,
Boom Microphone Operator,['unnamed characters'],unnamed characters,,,
Britney Spears,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Angelina Jolie,['celebrities'],celebrities,,,
General Store Clerk,['uncategorized'],uncategorized,,,
Louis C.K.,['celebrities'],celebrities,,,
Airport Security Guard,['uncategorized'],uncategorized,,,
Dr. Zonder,['uncategorized'],uncategorized,,,
Betsy Donovan,['uncategorized'],uncategorized,,,
Brett,['uncategorized'],uncategorized,,,
Fosse McDonald,['4th graders'],4th graders,,,
Security Guard,['unnamed characters'],unnamed characters,,,
Jerusalem News Correspondent,['uncategorized'],uncategorized,,,
Peter Nelson,['uncategorized'],uncategorized,,,
Redneck with Brown Hair and White Shirt,['unnamed characters'],unnamed characters,,,
Heidi (Dead Celebrities),['uncategorized'],uncategorized,,,
Pope Benedict XVI,"['religious figures', 'celebrities']",religious figures,celebrities,,
Mr. Stevens,['unnamed characters'],unnamed characters,,,
Captain Marvel,['crossover characters'],crossover characters,,,
GS-401,['monsters'],monsters,,,
Big Black Scary Monster,['monsters'],monsters,,,
Peter Galtman,['school faculty'],school faculty,,,
Darth Chef,['uncategorized'],uncategorized,,,
Droopy Dog,"['4th graders', 'unnamed characters', 'crossover characters']",4th graders,unnamed characters,crossover characters,
Nurse Gollum,['uncategorized'],uncategorized,,,
Toilet Safety Obese Agent,['unnamed characters'],unnamed characters,,,
Michael (Special Ed),['4th graders'],4th graders,,,
Condoleezza Rice,['political celebrities'],political celebrities,,,
Emperor Akihito,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Excalibur Barker,['unnamed characters'],unnamed characters,,,
Winona Ryder,['celebrities'],celebrities,,,
Dental Floss,"['unnamed characters', 'kindergartners']",unnamed characters,kindergartners,,
Thomas Tucker,['uncategorized'],uncategorized,,,
Boy with Red Shirt,['unnamed characters'],unnamed characters,,,
Alton Brown,['celebrities'],celebrities,,,
Chris Christie,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Delivery Express Man,['uncategorized'],uncategorized,,,
Predator,['aliens'],aliens,,,
Dr. Hallis,['uncategorized'],uncategorized,,,
John Garner,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Timmy Burch,['4th graders'],4th graders,,,
Kevin (Butters' Bottom Bitch),['uncategorized'],uncategorized,,,
Mysterion,['uncategorized'],uncategorized,,,
Thomas McElroy,['uncategorized'],uncategorized,,,
Brad Paisley,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Gloria Allred,['celebrities'],celebrities,,,
Kenny's Rats,['animals'],animals,,,
Mandy,['4th graders'],4th graders,,,
Rodriguez,['uncategorized'],uncategorized,,,
Tammy Thompson,['uncategorized'],uncategorized,,,
Mario Batali,['celebrities'],celebrities,,,
David Spade,['celebrities'],celebrities,,,
Enrique,['animals'],animals,,,
Mr. Peters (Jewpacabra),['uncategorized'],uncategorized,,,
Quaid,['kindergartners'],kindergartners,,,
Stephen Abootman,['fictional celebrities'],fictional celebrities,,,
Judge Julie,['uncategorized'],uncategorized,,,
Sally Turner,['4th graders'],4th graders,,,
David Perry,['uncategorized'],uncategorized,,,
John Postum,['uncategorized'],uncategorized,,,
George W. Bush,['political celebrities'],political celebrities,,,
Mr. Jarvis,['uncategorized'],uncategorized,,,
Babylonians,['uncategorized'],uncategorized,,,
Sea People,['animals'],animals,,,
Alcoholics Anonymous Boy,['unnamed characters'],unnamed characters,,,
Cardinal Roger Mahony,['uncategorized'],uncategorized,,,
Large-Breasted Woman,['unnamed characters'],unnamed characters,,,
J.J. Abrams,['celebrities'],celebrities,,,
Mr. Biggle,['unnamed characters'],unnamed characters,,,
Craig Tucker,['4th graders'],4th graders,,,
Rebecca Cotswolds,['uncategorized'],uncategorized,,,
Jesus Christ,"['religious figures', 'celebrities']",religious figures,celebrities,,
Q-Money,['uncategorized'],uncategorized,,,
Jeff Goldblum,['uncategorized'],uncategorized,,,
Tony Stewart,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
Mabel Gonzalez,['uncategorized'],uncategorized,,,
Thomas (Charlotte's Father),['uncategorized'],uncategorized,,,
Steven Spielberg,"['celebrities', 'criminal celebrities']",celebrities,criminal celebrities,,
Jimmy Kimmel,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Wayne D,['uncategorized'],uncategorized,,,
Michael's Parents (Up the Down Steroid),['unnamed characters'],unnamed characters,,,
Whole Foods Cashier,['uncategorized'],uncategorized,,,
Phyllis,['uncategorized'],uncategorized,,,
Billy (Kindergartner),['kindergartners'],kindergartners,,,
The Baldwins,['celebrities'],celebrities,,,
Stephen Stotch,['uncategorized'],uncategorized,,,
Geological Survey Supervisor,['uncategorized'],uncategorized,,,
Justin Bieber,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Girls' Volleyball Coach,"['school faculty', 'unnamed characters']",school faculty,unnamed characters,,
Martha Stewart,"['television celebrities', 'celebrities', 'criminal celebrities']",television celebrities,celebrities,criminal celebrities,
Bill Stewart,['uncategorized'],uncategorized,,,
Chuck E. Cheese,['fictional celebrities'],fictional celebrities,,,
Queen Spider,"['religious figures', 'animals', 'monsters']",religious figures,animals,monsters,
Mr. Ose,['uncategorized'],uncategorized,,,
Elderly Woman in Wheelchair,['unnamed characters'],unnamed characters,,,
Terry's Wife,['uncategorized'],uncategorized,,,
Stephen Tamill,['uncategorized'],uncategorized,,,
Cliff Barackman,['celebrities'],celebrities,,,
Captain America,['crossover characters'],crossover characters,,,
Mr. Feegan,['uncategorized'],uncategorized,,,
Mr. Kitty,['animals'],animals,,,
David Satcher,['uncategorized'],uncategorized,,,
Mrs. Zewiski,['uncategorized'],uncategorized,,,
Dan Snyder,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
Christopher Wallace,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Handicapped Girl with Big Chin,"['4th graders', 'unnamed characters']",4th graders,unnamed characters,,
Marilyn Manson,['music celebrities'],music celebrities,,,
Helen Burch,['uncategorized'],uncategorized,,,
Pocket,['uncategorized'],uncategorized,,,
Jenkins,['internet trolls'],internet trolls,,,
Lexus Martin,['raisins employees'],raisins employees,,,
Jay Cutler,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
Mrs. Gray,['uncategorized'],uncategorized,,,
Queen Elizabeth II,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Bill Allen,['4th graders'],4th graders,,,
Henry Kline,['4th graders'],4th graders,,,
Teenager Girl with Violet Shirt,['unnamed characters'],unnamed characters,,,
Conan O'Brien,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Chief Joe,['uncategorized'],uncategorized,,,
J.J. Watt,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
Officer Stevens,['uncategorized'],uncategorized,,,
Reggie Burke,['uncategorized'],uncategorized,,,
Canadian Door Guard,['uncategorized'],uncategorized,,,
Anthony Fauci,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Josh Cashner,['uncategorized'],uncategorized,,,
Rich Kid in Cherry Creek,['unnamed characters'],unnamed characters,,,
Amber Hankey,['uncategorized'],uncategorized,,,
Terrance Mephesto,['4th graders'],4th graders,,,
Jim Rome,['uncategorized'],uncategorized,,,
Steve Ballmer,['business celebrities'],business celebrities,,,
Canadian Minister of Sports,['uncategorized'],uncategorized,,,
Chad,['uncategorized'],uncategorized,,,
Lady Gaga,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Mayor of Imaginationland,['unnamed characters'],unnamed characters,,,
Grandma Stotch,['unnamed characters'],unnamed characters,,,
Josh Myers,['4th graders'],4th graders,,,
Cajun Shrimp Merchant,['uncategorized'],uncategorized,,,
Numa Numa Guy,"['internet celebrities', 'celebrities']",internet celebrities,celebrities,,
Ms. Bronski,['school faculty'],school faculty,,,
Man with Burgundy Coat,['unnamed characters'],unnamed characters,,,
Cornwallis Hankey,['uncategorized'],uncategorized,,,
Jambu,['animals'],animals,,,
Tommy Edwards,['uncategorized'],uncategorized,,,
Gary Nelson (Ginger Kid),['4th graders'],4th graders,,,
Michael Dorn,['celebrities'],celebrities,,,
Sylvester,['animals'],animals,,,
Calvin,['uncategorized'],uncategorized,,,
Kelly Mayfield,['animals'],animals,,,
Pete,['4th graders'],4th graders,,,
Seaman,['crossover characters'],crossover characters,,,
Melita,['uncategorized'],uncategorized,,,
Mrs. Tenorman,['unnamed characters'],unnamed characters,,,
Robert Redford,['uncategorized'],uncategorized,,,
Teabag,['uncategorized'],uncategorized,,,
John F. Kennedy,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Ranger McFriendly,['uncategorized'],uncategorized,,,
Mr. Billings,['uncategorized'],uncategorized,,,
Anthropologist,['unnamed characters'],unnamed characters,,,
Richard Dawkins,['uncategorized'],uncategorized,,,
6th Grader Girl with Blonde Hair,['unnamed characters'],unnamed characters,,,
Dr. Poonlover,['uncategorized'],uncategorized,,,
Horace Sanders,['uncategorized'],uncategorized,,,
Scott Tenorman,['uncategorized'],uncategorized,,,
Mr. Handler,['unnamed characters'],unnamed characters,,,
Barkley,['uncategorized'],uncategorized,,,
Yippie,['animals'],animals,,,
Mike (Sea Park Announcer),['uncategorized'],uncategorized,,,
Heather Swanson,['uncategorized'],uncategorized,,,
Loogie's Associates,['4th graders'],4th graders,,,
Gary Borkovec,['4th graders'],4th graders,,,
American Association of Retired Persons (AARP),['uncategorized'],uncategorized,,,
Ed McMahon,['celebrities'],celebrities,,,
Tom (Newsman),['uncategorized'],uncategorized,,,
Caitlyn Jenner,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Steamy Nicks,['uncategorized'],uncategorized,,,
Gelgameks,"['religious figures', 'aliens']",religious figures,aliens,,
Bono,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Lamond,['uncategorized'],uncategorized,,,
Nate,['4th graders'],4th graders,,,
Rick Watts,['uncategorized'],uncategorized,,,
June Shannon,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
