,Title,Air Date,Code,#,Descriptions,Cast,Season
10,Tom's Rhinoplasty,"February 11, 1998",111,11,"While Mr. Garrison deserts the class for a visit to Tom's Rhinoplasty, Stan, Kyle, Kenny, and Cartman all compete for the attention of Ms. Ellen, the new substitute teacher.","['Hakeem Korashki', 'Doctor Tom', 'Ms. Ellen', 'Clyde Donovan', 'Herbert Garrison', 'Photographer', 'David Hasselhoff', 'Mrs. Campbell', 'Kenny McCormick', 'Principal Victoria', 'Bebe Stevens', 'Kyle Broflovski', 'Eric Cartman', 'Mr. Hat', 'Wendy Testaburger', 'Stan Marsh']",1
11,Mecha-Streisand,"February 18, 1998",112,12,The boys' discovery of a prehistoric relic spawns a monster that threatens to destroy South Park and the world.,"['Quadriplegic Swiss Man on a Pony', 'Sheila Broflovski', 'Officer Barbrady', 'Herbert Garrison', 'Japanese Singer', 'Kenny McCormick', 'Milo', 'Anthropologist', 'Ike Broflovski', 'Kyle Broflovski', 'Eric Cartman', 'Sidney Poitier', 'Leonard Maltin', 'Robert Smith', 'Barbra Streisand', 'Stan Marsh']",1
12,Cartman's Mom is a Dirty Slut,"February 25, 1998",113,13,Who is Eric Cartman's father? It could be anyone who attended South Park's 12th Annual Drunken Barn Dance.,"['Marvin Marsh', 'Halfy', 'Principal Victoria', 'Mr. Hat', 'Stan Marsh', 'Bob Saget', 'Herbert Garrison', 'Jesus Christ', 'Mayor McDaniels', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Mr. Mackey', 'Chief Running Water', 'Kenny McCormick', 'Jimbo Kern', 'Officer Barbrady', 'Sharon Marsh', 'Liane Cartman', 'Dr. Alphonse Mephesto']",1
13,Terrance and Phillip in Not Without My Anus,"April 1, 1998",201,14,"Terrance and Phillip must save Terrance's little daughter, Sally, and all of Canada from an evil dictator.","['Celine Dion', 'Sally Dion', 'Ugly Bob', 'Kenny McCormick', 'Saddam Hussein', 'Eric Cartman', 'Scott the Dick']",2
14,Cartman's Mom is Still a Dirty Slut,"April 22, 1998",202,15,The boys wait for Dr. Mephesto to regain consciousness and reveal the identity of Cartman's father.,"['Dr. Doctor', 'Kevin Mephesto', 'Mr. Hat', 'Stan Marsh', 'Boom Microphone Operator', 'Herbert Garrison', 'Nurse Goodly', 'Mayor McDaniels', 'Sid Greenfield', 'John Walsh', 'Kyle Broflovski', 'Eric Cartman', 'Bill Clinton', 'Babylonians', 'Mr. Mackey', 'Chief Running Water', 'Unplanned Parenthood Counselor', 'Kenny McCormick', 'Samaritans', 'Jimbo Kern', 'Cameraman', 'Officer Barbrady', 'Eric Roberts', 'Liane Cartman', 'Gerald Broflovski', 'Sheila Broflovski', 'Dr. Alphonse Mephesto']",2
15,Ike's Wee Wee,"May 20, 1998",204,16,"Mr. Mackey, the school counselor, is fired and turns to drugs and alcohol. Meanwhile, when the boys find out what it means to be circumcised they try to save Ike from his bris.","['Mr. T', 'Dr. Schwartz', 'Teenage Hippies', 'Principal Victoria', 'Mr. Hat', 'Stan Marsh', 'Haps Bar Bartender', 'Herbert Garrison', 'Mrs. Stevens', 'Ike Broflovski', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'South Park Express Conductor', 'Murrey Broflovski', 'Mr. Mackey', 'Young Hippie', 'Kenny McCormick', 'Jimbo Kern', 'Mr. Homeless Guy', 'Mr. Allen', 'Sharon Marsh', 'Gerald Broflovski', 'Bartender', 'Father Maxi', 'Sheila Broflovski', 'Sylvester', 'Mr. Freely']",2
16,Chickenlover,"May 27, 1998",203,17,"When Barbrady resigns, anarchy ensues and the boys pitch in to help.","['Carol McCormick', 'Stuart McCormick', 'Herbert Garrison', 'Mayor McDaniels', 'Kenny McCormick', 'Ted', 'Book Mobile Driver', 'Halfy', 'Randy Marsh', 'Kevin McCormick', 'Kyle Broflovski', 'Eric Cartman', 'Mr. Hat', 'Officer Barbrady', 'Stan Marsh']",2
17,Conjoined Fetus Lady,"June 3, 1998",205,18,The boys go to China to compete in a dodgeball championship. The town holds an appreciation week for the school nurse.,"['Kevin Stoley', 'Nurse Gollum', 'Principal Victoria', 'Stan Marsh', 'Chinese Commentators', 'Bebe Stevens', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Clyde Donovan', 'Mr. Mackey', 'Kenny McCormick', 'Ms. Herman', 'Jimbo Kern', 'Officer Barbrady', 'Token Black', 'Pip Pirrip', 'Sharon Marsh', 'Veronica Crabtree', 'Gerald Broflovski', 'Bob Thomas', 'Sheila Broflovski']",2
18,The Mexican Staring Frog of Southern Sri Lanka,"June 10, 1998",206,19,"Jimbo and Ned's efforts to drive up the ratings for their new hunting show on the cable access channel threatens to edge out an old favorite, Jesus and Pals.","['Satan', 'Herbert Garrison', 'Jesus Christ', 'Bob Denver', 'Jesus and Pals Producer', 'Kenny McCormick', 'Saddam Hussein', 'Michael Jackson Fan', 'Ned Gerblanski', 'Kyle Broflovski', 'Eric Cartman', 'Mr. Hat', 'Jimbo Kern', 'Stan Marsh']",2
19,City on the Edge of Forever (Flashbacks),"June 17, 1998",207,20,A freak accident leaves the South Park Elementary school bus teetering precariously on the edge of a cliff.,"['Scuzzlebutt', 'Marvin Marsh', 'Marcus', 'Stan Marsh', 'John Elway', 'Carol McCormick', 'Herbert Garrison', 'Boy with Red Shirt', 'Carrot Top', 'Big Black Scary Monster', 'Mayor McDaniels', 'Henry Winkler', 'Bebe Stevens', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Jay Leno', 'Stuart McCormick', 'Clyde Donovan', 'Mr. Mackey', 'Kenny McCormick', 'Kathie Lee Gifford', 'Marty Jonus', 'Sharon Marsh', 'Liane Cartman', 'Veronica Crabtree', 'Gerald Broflovski', 'Sheila Broflovski', 'Dr. Alphonse Mephesto']",2
20,Summer Sucks,"June 24, 1998",208,21,The entire town is gearing up for the annual 4th of July celebration when a ban on fireworks is imposed.,"['Tom Pusslicker', 'Herbert Garrison', 'Mr. Twig', 'Stu', 'Mr. Romero', 'Mayor McDaniels', 'Shari Lewis', 'Kenny McCormick', 'Dr. Katz', 'Brett Favre', 'Ned Gerblanski', 'Swimming Instructor', 'Kyle Broflovski', 'Eric Cartman', 'Mr. Hat', 'Jimbo Kern', 'Officer Barbrady', 'Stan Marsh']",2
21,Chef's Chocolate Salty Balls,"August 19, 1998",209,22,"South Park's first film festival attracts crowds of pretentious, tofu-eating movie lovers to the quiet mountain town.","['Robert Redford', 'Herbert Garrison', 'Mr. Twig', 'Tom Hanks', 'Mr. Hankey', 'Fred Savage', 'Kenny McCormick', 'Gay Cowboys', 'Phyllis', 'Kyle Broflovski', 'Eric Cartman', 'Wendy Testaburger', 'Stan Marsh']",2
22,Chickenpox,"August 26, 1998",210,23,"The kids' parents only have their best interests at heart when they arrange for Stan, Kyle and Cartman to be exposed to the chickenpox virus.","['Frida', 'Carol McCormick', 'Stuart McCormick', 'Sheila Broflovski', 'Shelly Marsh', 'Herbert Garrison', 'Sharon Marsh', 'Liane Cartman', 'Gerald Broflovski', 'Kenny McCormick', 'Dr. Doctor', 'Randy Marsh', 'Ike Broflovski', 'Kyle Broflovski', 'Eric Cartman', 'Kevin McCormick', 'Stan Marsh']",2
23,Roger Ebert Should Lay off the Fatty Foods,"September 2, 1998",211,24,"Is the new planetarium a harmless place to learn about the solar system, or the scene of a diabolical plot to control the minds of South Park's citizens?","['Butters Stotch', 'Principal Victoria', 'Nurse Gollum', 'Tommy Fritz', 'Van Gelder', 'Stan Marsh', 'Peter', 'Herbert Garrison', 'Dr. Tristan Adams', 'Kyle Broflovski', 'Eric Cartman', 'Clyde Donovan', 'Mr. Mackey', 'Annie Knitts', 'Kenny McCormick', 'Mr. Twig', 'Officer Barbrady', 'Liane Cartman', 'Veronica Crabtree', 'Mabel Cartman', 'Cosette', 'Fosse McDonald', 'Wendy Testaburger']",2
24,Clubhouses,"September 23, 1998",212,25,"Stan and Kyle are psyched to have Wendy and Bebe visit their clubhouse for a game of Truth or Dare, but first they have to build one.","['Clyde Donovan', 'Kevin Stoley', 'Butters Stotch', 'Mr. Mackey', 'Sharon Marsh', 'Liane Cartman', 'Runaway Girls', 'Roy', 'Kenny McCormick', 'Bebe Stevens', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Fosse McDonald', 'Wendy Testaburger', 'Stan Marsh']",2
25,Cow Days,"September 30, 1998",213,26,"South Park's 14th Annual ""Cow Days"" rodeo and carnival is here and the boys are determined to win Terrance and Phillip dolls.","['Jennifer Love Hewitt', 'Halfy', 'Dr. Doctor', 'Stan Marsh', 'Herbert Garrison', 'Frank Hammond and Phil', 'Mayor McDaniels', 'Kyle Broflovski', 'Eric Cartman', 'Federal Bureau of Investigation', 'Kenny McCormick', 'Ned Gerblanski', 'Mr. Twig', 'Jimbo Kern', 'Officer Barbrady', 'Gerald Broflovski', 'Cows', 'Father Maxi', 'Sheila Broflovski', 'Tom and Mary']",2
26,Chef Aid,"October 7, 1998",214,27,"After a huge loss in court, Chef is left penniless, but he has some very famous and talented friends in the music business who want to help their old mentor.","['Judge Moses', 'Dr. Doctor', 'Mr. Hat', 'Alanis Morissette', 'Meat Loaf', 'Stan Marsh', 'Herbert Garrison', 'Mayor McDaniels', 'Elton John', 'Kyle Broflovski', 'Eric Cartman', 'Ozzy Osbourne', 'Joe Strummer', 'Mr. Mackey', 'Kenny McCormick', 'Mr. Twig', 'Officer Barbrady', 'Johnnie Cochran', 'Mr. Big Record Producer', 'Rick James', 'Chef Aid Host', 'Veronica Crabtree', 'Gerald Broflovski', 'Sheila Broflovski']",2
27,Spookyfish,"October 28, 1998",215,28,"When Sharon Marsh's Aunt Flo makes a monthly visit, she brings a mysterious pet fish for Stan.","['Carol McCormick', 'Stuart McCormick', 'The Evil Boys', 'Shelly Marsh', 'Sharon Marsh', 'Flo Kimble', 'Mayor McDaniels', 'Kenny McCormick', 'Tiny Alien', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Officer Barbrady', 'Barbra Streisand', 'Stan Marsh']",2
28,Merry Christmas Charlie Manson!,"December 9, 1998",216,29,"Dinner with Cartman's family takes a bizarre twist when Uncle Howard shows up after breaking out of prison with the help of his cellmate, Charlie Manson.","['Jimmy Cartman', 'Shelly Marsh', 'Stan Marsh', 'Chief Stevens', 'Carol McCormick', 'Charlie Manson', 'Uncle Stinky', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Stuart McCormick', 'Elvin Cartman', 'Kenny McCormick', 'Harold Cartman', 'Sharon Marsh', 'Liane Cartman', 'Mabel Cartman', 'Gerald Broflovski', 'Howard Cartman', 'Florence Cartman', 'Sheila Broflovski']",2
29,Gnomes,"December 16, 1998",217,30,"Cartman, Stan, Kyle and Kenny are assigned to write a report with Tweek, the very nervous and highly caffeinated boy who insists gnomes are stealing his underpants.","['Richard Tweak', 'Herbert Garrison', 'Mrs. Tweak', 'Mayor McDaniels', 'Kenny McCormick', 'Ted', 'Kyle Broflovski', 'Eric Cartman', 'John Postum', 'Officer Barbrady', 'Tweek Tweak', 'Stan Marsh']",2
30,Prehistoric Ice Man,"January 20, 1999",218,31,The boys' discovery of a man encased in ice threatens Stan and Kyle's friendship.,"['Officer Barbrady', 'Marilyn Manson', 'Dr. Alphonse Mephesto', 'Federal Bureau of Investigation', 'Mayor McDaniels', 'Kenny McCormick', 'Buck Jr.', 'Calvin', 'South Park Express Conductor', 'Kyle Broflovski', 'Eric Cartman', 'Steve Irwin', 'Buck', 'Stan Marsh']",2
31,Rainforest Shmainforest,"April 7, 1999",301,32,"The boys travel to the Costa Rica as a part of the ""Getting Gay with Kids"" choir tour.","['Ms. Stevens', 'Jake', 'Costa Rican President', 'Sheila Broflovski', 'Mr. Mackey', 'Sharon Marsh', 'Foreman', 'Kenny McCormick', 'Pablo', 'Craig Tucker', 'Kyle Broflovski', 'Eric Cartman', 'Tony Danza', 'Stan Marsh']",3
32,Spontaneous Combustion,"April 14, 1999",302,33,"When the citizens of South Park start exploding randomly, the mayor enlists Stan's dad, the resident geologist, to find a solution to the problem.","['Stan Marsh', 'Herbert Garrison', 'Mayor McDaniels', 'Nick Nolte', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Mr. Mackey', 'Kenny McCormick', 'Officer Barbrady', 'Bob Dole', 'Tom Pusslicker', 'General Store Clerk', 'Whoopi Goldberg', 'Liane Cartman', 'Gerald Broflovski', 'Father Maxi', 'Sheila Broflovski', 'Dr. Alphonse Mephesto']",3
33,The Succubus,"April 21, 1999",303,34,Chef's parents arrive in South Park from Scotland fresh from an encounter with the Loch Ness Monster to attend Chef's wedding.,"['Herbert Garrison', 'Mr. Derp', 'Liane Cartman', 'Nellie McElroy', 'Veronica', 'Kenny McCormick', 'Thomas McElroy', 'Father Maxi', 'Kyle Broflovski', 'Eric Cartman', 'Mr. Hat', 'Stan Marsh']",3
34,Jakovasaurs,"June 16, 1999",305,35,The boys discover a prehistoric creature called a Jakovasaur while camping at Stark's Pond.,"['Mr. Mackey', 'Dr. Alphonse Mephesto', 'Liane Cartman', 'Mayor McDaniels', 'Gerald Broflovski', 'Kenny McCormick', 'Jakovasaur', 'Randy Marsh', 'Ned Gerblanski', 'Kyle Broflovski', 'Eric Cartman', 'DOI Agents', 'Jimbo Kern', 'Stan Marsh']",3
35,Tweek vs. Craig,"June 23, 1999",304,36,"The boys instigate a fight between Tweek and Craig in shop class. Meanwhile, Mr. Adler, the shop teacher, is haunted by a recurring dream of his lost love.","['Richard Tweak', 'Pearl', 'Clyde Donovan', 'Thomas Tucker', 'Token Black', 'Mrs. Tweak', 'Richard Adler', 'Annie Knitts', 'Laura Tucker', 'Kenny McCormick', 'Craig Tucker', 'Bebe Stevens', 'Wendy Testaburger', 'Kyle Broflovski', 'Eric Cartman', 'Tweek Tweak', 'Stan Marsh']",3
36,Sexual Harassment Panda,"July 7, 1999",306,37,"After Sexual Harassment Panda ""educates"" the children, Cartman sues Stan for sexual harassment, and a flurry of other lawsuits follow.","['Peetie the Sexual Harassment Panda', 'Clyde Donovan', 'Mr. Mackey', 'Herbert Garrison', 'Judge Julie', 'Gerald Broflovski', 'Kenny McCormick', 'Principal Victoria', 'Bartender', 'Skeeter', 'Bebe Stevens', 'Kyle Broflovski', 'Eric Cartman', 'Mr. Hat', 'Stan Marsh']",3
37,Cat Orgy,"July 14, 1999",307,38,While all the adults are gathering at Mr. Mackey's house to watch a meteor shower Shelly Marsh is left babysit Cartman.,"['Mr. Mackey', 'Shelly Marsh', 'Rumpertumskin', 'Mark (The Lords of the Underworld)', 'Liane Cartman', 'Clyde Frog', 'Kenny McCormick', 'Polly Prissypants', 'Jonesy', 'Skyler Morse', 'Eric Cartman', 'Mr. Kitty']",3
38,Two Guys Naked in a Hot Tub,"July 21, 1999",308,39,"Stan's parents drag him along to Mr. Mackey's meteor shower party, where he is sent down into the basement to play with Pip, Butters and Dougie.","['Sheila Broflovski', 'Derek Smalls', 'Mr. Mackey', 'Butters Stotch', 'Herbert Garrison', 'Pip Pirrip', 'Cameron', 'Sharon Marsh', 'Gerald Broflovski', 'Kenny McCormick', 'Danny Ganz', 'Randy Marsh', 'Ned Gerblanski', 'Kyle Broflovski', 'Eric Cartman', 'Jimbo Kern', 'Officer Barbrady', 'Stan Marsh']",3
39,Jewbilee,"July 28, 1999",309,40,"Kyle invites Kenny to join him and Ike at Jewbilee, a camp for Jewish kids.","['Moses', 'Sheila Broflovski', 'Garth', 'Haman', 'Gerald Broflovski', 'Kenny McCormick', 'Ike Broflovski', 'Kyle Broflovski', 'Eric Cartman']",3
40,Korn's Groovy Pirate Ghost Mystery,"October 27, 1999",312,41,Korn comes to South Park for a Halloween concert and helps the boys solve a spooky pirate ghost mystery.,"['Mr. Hat', 'Stan Marsh', 'Herbert Garrison', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Nibblet', 'Cleo Broflovski', 'Kenny McCormick', 'Ned Gerblanski', 'Jimbo Kern', 'Alan the Security Guard', 'Sharon Marsh', 'Liane Cartman', 'Dr. Spookalot', 'Gerald Broflovski', 'Father Maxi', 'Sheila Broflovski', 'Mark the Security Guard', 'Wendy Testaburger']",3
41,Chinpokomon,"November 3, 1999",310,42,"Stan, Kyle, Cartman and Kenny are caught up in the latest fad from Japan: Chinpoko Mon!","['Red Harris', 'Butters Stotch', 'Emperor Hirohito', 'Mr. Hat', 'Stan Marsh', 'Herbert Garrison', 'Mayor McDaniels', 'Ike Broflovski', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Bill Clinton', 'Kenny McCormick', 'Mr. Ose', 'Mr. Kitty', 'Sharon Marsh', 'Liane Cartman', 'Gerald Broflovski', 'Father Maxi', 'Sheila Broflovski', 'Wendy Testaburger']",3
42,Hooked on Monkey Fonics,"November 10, 1999",313,43,"To help Cartman win the school spelling bee, Cartman's Mom gives him the Hooked on Monkey Fonics spelling system.","['Fonics Monkey', 'Butters Stotch', 'Mark Cotswolds', 'Principal Victoria', 'Craig Tucker', 'Mr. Hat', 'Stan Marsh', 'Herbert Garrison', 'Rebecca Cotswolds', 'Mr. Cotswolds', 'Mayor McDaniels', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Kenny McCormick', 'Ned Gerblanski', 'Jimbo Kern', 'Mrs. Cotswolds', 'Token Black', 'Pip Pirrip', 'Liane Cartman', 'Gerald Broflovski']",3
43,Starvin' Marvin in Space,"November 17, 1999",311,44,"Starvin' Marvin returns to South Park with an alien spaceship and enlists Cartman, Stan, Kyle and Kenny's help to seek out a new home for his starving people.","['Agent Connelly', 'Agent Fields', 'Pat Robertson', 'Sally Struthers', 'Herbert Garrison', 'Sister Hollis', 'Federal Bureau of Investigation', 'Marklar', 'Kenny McCormick', 'Kyle Broflovski', 'Eric Cartman', 'Stan Marsh']",3
44,The Red Badge of Gayness,"November 24, 1999",314,45,"Cartman has visions of glory as he suits up for the Confederacy in the annual reenactment of a Civil War battle, and leads the drunken rebels to defeat the union.","['Stuart McCormick', 'Abraham Lincoln', 'Herbert Garrison', 'Butters Stotch', 'Marvin Marsh', 'Suzette', 'Jefferson Davis', 'Gerald Broflovski', 'Kenny McCormick', 'Bartender', 'Bill Clinton', 'Randy Marsh', 'Al Gore', 'Kyle Broflovski', 'Eric Cartman', 'Jimbo Kern', 'Stan Marsh']",3
45,Mr. Hankey's Christmas Classics,"December 1, 1999",315,46,"An extravaganza of holiday songs are performed in unique South Park style, hosted by Mr. Hankey.","['Shelly Marsh', 'Mr. Hankey', 'John F. Kennedy', 'Mr. Hat', 'Stan Marsh', 'Mailman', 'Satan', 'John F. Kennedy Jr.', 'Herbert Garrison', 'Jesus Christ', 'Bradley Biggle', 'Ike Broflovski', 'Kyle Broflovski', 'Eric Cartman', 'Anchorman', 'Mr. Mackey', 'Adolf Hitler', 'Santa Claus', 'Kenny McCormick', 'Gerald Broflovski', 'Sheila Broflovski']",3
46,"Are You There God? It's Me, Jesus","December 29, 1999",316,47,People from all over the world start to gather outside Jesus' house waiting for a millennium miracle.,"['Dr. Doctor', 'Stan Marsh', 'Carol McCormick', 'Jesus Christ', 'Herbert Garrison', 'Ike Broflovski', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Stuart McCormick', 'Mr. Mackey', 'Kenny McCormick', 'Jimbo Kern', 'Tom Pusslicker', 'God', 'Sharon Marsh', 'Rod Stewart', 'Nurse with Red Hair', 'Gerald Broflovski', 'Skeeter', 'Father Maxi', 'Dr. Alphonse Mephesto']",3
47,World Wide Recorder Concert,"January 12, 2000",317,48,"The children of South Park are invited to Arkansas for the ""Four Million Child Blow 2000,"" the first worldwide recorder concert.","['Recorder Concert Coordinator', 'Mrs. Garrison Senior', 'Mr. Mackey', 'Herbert Garrison', 'Yoko Ono', 'Veronica Crabtree', 'Kenny McCormick', 'Herbert Garrison Sr.', 'Kyle Broflovski', 'Eric Cartman', 'Mr. Hat', 'Kenny G', 'Stan Marsh']",3
48,The Tooth Fairy Tats 2000,"April 5, 2000",402,49,"When Cartman discovers the Tooth Fairy is paying a premium price for his lost teeth, he and the boys seize the opportunity to make some cash.","['Tom Pusslicker', 'Timmy Burch', 'Billy Circlovich', 'Butters Stotch', 'Loogie', 'Liane Cartman', 'Gerald Broflovski', 'Kenny McCormick', 'Tom Foley', 'Weasel', 'Dr. Roberts', 'Kyle Broflovski', 'Eric Cartman', 'Rich Kid in Cherry Creek', 'Stan Marsh']",4
49,Cartman's Silly Hate Crime 2000,"April 12, 2000",401,50,Cartman is pursued by the FBI for committing a hate crime and lands in juvenile hall.,"['Tom Pusslicker', 'Lizzy', 'Steve Black', 'Clyde Donovan', 'Mr. Mackey', 'Butters Stotch', 'Token Black', 'Pip Pirrip', 'Liane Cartman', 'Federal Bureau of Investigation', 'Romper Stomper', 'Kenny McCormick', 'Bebe Stevens', 'Kyle Broflovski', 'Eric Cartman', 'Linda Black', 'Stan Marsh']",4
50,Timmy 2000,"April 19, 2000",404,51,"When Timmy is diagnosed with Attention Deficit Disorder, it triggers a wave of prescription drug abuse at South Park Elementary.","['Timmy Burch', 'Charlie Rose', 'Principal Victoria', 'Stan Marsh', 'Carol McCormick', 'Herbert Garrison', 'Dr. Shay', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Mr. Mackey', 'Kurt Loder', 'Richard Burch', 'Christina Aguilera', 'Phil Collins', 'Kenny McCormick', 'Helen Burch', 'Sharon Marsh', 'Liane Cartman', 'Gerald Broflovski', 'Jonesy', 'Skyler Morse', 'Sheila Broflovski', 'Wendy Testaburger']",4
